name,name_c,img,price,no_rates,rating_100,released,system_name,processor,windows,storage,display,Wifi,bluetooth,camera,slim,hdmi,usb,spec_score
Asus Zenbook S 14 OLED UX5406SA-PZ7...,Asus Zenbook S 14 OLED UX5406SA-PZ7761WS Laptop (Core Ultra 7/32 GB/1 TB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-ux5406sa-pz7761ws-167370-v1-small-1.jpg?tr=q-80,146940,9,88,Jan 2025,- Windows 11,"Intel Core Ultra 7 (Series 2) 4.8 Ghz, Octa-Core",Windows 11,"32 GB LPDDR5X RAM, 1 TB SSD","14"" (35.56 cm), 2880 x 1800 px, OLED Display",Wi-fi,Bluetooth,Web Camera,Slim 12.9 mm,HDMI Port,,
Lenovo IdeaPad Slim 1i 15IGL7 Gen 7...,Lenovo IdeaPad Slim 1i 15IGL7 Gen 7 (82V700L2IN) Laptop (Celeron Dual Core/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/lenovo/lenovo-15igl7-gen-7-82v700l2in-167017-v1-small-1.jpg?tr=q-80,24190,20,76,Jan 2025,- Windows 11,"Intel Celeron Dual-Core 2.8 Ghz, Dual-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1366 x 768 px, TN LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,
Asus TUF Gaming F15 FX507VV-LP487WS...,Asus TUF Gaming F15 FX507VV-LP487WS Laptop (Core i7 13th Gen/16 GB/1 TB SSD/Windows 11/8 GB) price in India,//www.91-img.com/pictures/laptops/asus/asus-fx507vv-lp487ws-167288-v1-small-1.jpg?tr=q-80,107290,33,84,Jan 2025,- Windows 11,"Intel Core i7 (13th Gen) 4.9 Ghz, Deca-Core",Windows 11,"16 GB DDR5 RAM, 1 TB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,
Lenovo IdeaPad Slim 3 15IRH8 (83EM0...,Lenovo IdeaPad Slim 3 15IRH8 (83EM00H0IN) Laptop (Core i5 13th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/lenovo/lenovo-15irh8-83em00h0in-166837-v1-small-1.jpg?tr=q-80,57890,13,74,Dec 2024,- Windows 11,"Intel Core i5 (13th Gen) 4.6 Ghz, Octa-Core",Windows 11,"16 GB LPDDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,81
Apple MacBook Air M3 MC9F4HN/A Ultr...,Apple MacBook Air M3 MC9F4HN/A Ultrabook (Apple M3/16 GB/256 GB SSD/macOS Sequoia) price in India,//www.91-img.com/pictures/laptops/apple/apple-m3-mc9f4hn-a-165714-v1-small-1.jpg?tr=q-80,118990,7,88,Nov 2024,- macOS Sequoia,"Apple M3 4.1 Ghz, Octa-Core",macOS Sequoia,"16 GB Unified Memory RAM, 256 GB SSD","15.3"" (38.86 cm), 2880 x 1864 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 11.5 mm,,,84
HP Victus 15-fa0333TX (A03GZPA) Lap...,HP Victus 15-fa0333TX (A03GZPA) Laptop (Core i5 12th Gen/16 GB/512 GB SSD/Windows 11/4 GB) price in India,//www.91-img.com/pictures/laptops/hp/hp-15-fa0333tx-a03gzpa-164917-v1-small-1.jpg?tr=q-80,68690,617,86,Sep 2024,- Windows 11,"Intel Core i5 (12th Gen) 4.4 Ghz, Octa-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,86
Acer Aspire 3 A324-31 (UN.34DSI.002...,Acer Aspire 3 A324-31 (UN.34DSI.002) Laptop (Core i3 12th Gen/8 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-a324-31-un-34dsi-002-164107-v1-small-1.jpg?tr=q-80,39999,582,84,Aug 2024,- Windows 11,"Intel Core i3 (12th Gen) 3.8 Ghz, Octa-Core",Windows 11,"8 GB DDR4 RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 17.8 mm,HDMI Port,,78
Asus VivoBook S15 OLED S5504VA-MA94...,Asus VivoBook S15 OLED S5504VA-MA943WS Laptop (Core i9 13th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-s5504va-ma943ws-164069-v1-small-1.jpg?tr=q-80,84950,52,80,Aug 2024,- Windows 11,Intel Core i9 (13th Gen) 5.4 Ghz,Windows 11,"16 GB LPDDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 2880 x 1620 px, OLED Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,84
Asus VivoBook S15 OLED S5504VA-MA94...,Asus VivoBook S15 OLED S5504VA-MA941WS Laptop (Core i9 13th Gen/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-s5504va-ma941ws-164070-v1-small-1.jpg?tr=q-80,94990,46,76,Aug 2024,- Windows 11,Intel Core i9 (13th Gen) 5.4 Ghz,Windows 11,"16 GB LPDDR5 RAM, 512 GB SSD","15.6"" (39.62 cm), 2880 x 1620 px, OLED Display",Wi-fi,Bluetooth,Web Camera,Slim 17.9 mm,HDMI Port,,84
Acer Swift Go 14 SFG14-41 (NX.KG3SI...,Acer Swift Go 14 SFG14-41 (NX.KG3SI.007) Laptop (AMD Octa Core Ryzen 7/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/acer/acer-sfg14-41-nx-kg3si-007-163961-v1-small-1.jpg?tr=q-80,49990,565,86,Jul 2024,- Windows 11,AMD Octa-Core Ryzen 7 (7730U) 4.5 Ghz,Windows 11,"16 GB RAM, 512 GB SSD","14"" (35.56 cm), 1920 x 1080 px, TFT LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 15.9 mm,HDMI Port,,72
